timestamp,%_cpu
6.38E+17,41.23901
6.38E+17,45.81059
6.38E+17,53.47299
6.38E+17,48.241344
6.38E+17,52.840008
6.38E+17,50.46096
6.38E+17,51.213802
6.38E+17,63.72046
6.38E+17,47.390934
6.38E+17,48.19046
6.38E+17,52.061844
6.38E+17,50.513725
6.38E+17,51.343414
6.38E+17,51.317776
6.38E+17,56.698334
6.38E+17,50.49443
6.38E+17,42.69214
6.38E+17,53.65814
6.38E+17,48.21891
6.38E+17,55.176693
6.38E+17,51.313667
6.38E+17,53.682648
6.38E+17,51.314445
6.38E+17,44.363815
6.38E+17,42.757496
6.38E+17,61.396324
6.38E+17,60.69763
6.38E+17,45.088913
6.38E+17,51.28735
6.38E+17,54.442993
6.38E+17,41.94268
6.38E+17,45.121376
6.38E+17,52.140793
6.38E+17,60.703804
6.38E+17,56.00629
6.38E+17,44.317337
6.38E+17,48.99224
6.38E+17,52.90491
6.38E+17,51.334484
6.38E+17,56.78312
6.38E+17,46.65465
6.38E+17,55.17855
6.38E+17,48.937202
6.38E+17,61.12653
6.38E+17,52.047306
6.38E+17,53.417492
6.38E+17,45.91169
6.38E+17,41.97425
6.38E+17,52.86001
6.38E+17,58.301163
6.38E+17,55.130836
6.38E+17,45.928307
6.38E+17,49.031548
6.38E+17,52.080906
6.38E+17,57.46863
6.38E+17,54.988613
6.38E+17,64.564255
6.38E+17,49.78664
6.38E+17,49.774754
6.38E+17,51.29121
6.38E+17,44.29807
6.38E+17,53.65377
6.38E+17,52.085854
6.38E+17,46.67056
